Mar 13 2018      5:33:01 pm     Elt: 003247 Seconds.  Real Time: 003168
ID: No spectrum identifier defined
Memory Size: 2048 Chls  Conversion Gain: 2048  Adc Offset: 0000 Chls

 Chn    Counts  ROI
 436      136  000
 437      147  000
 438      154  000
 439      186  000
 440      168  000
 441      155  000
 442      156  000
 443      131  000
 444      113  000
 445      126  000
 446      110  000
 447      102  000
 448       88  000
 449       99  000
 450       99  000
 451      123  000
 452       82  000
 453       89  000
 454       91  000
 455       83  000
 456       76  000
 457       62  000
 458       68  000
 459       74  000
 460       76  000
 461       65  000
 462       88  000
 463       70  000
 464       54  000
 465       66  000
 466       60  000
 467       63  000
 468       70  000
 469       76  000
 470       68  000
 471       72  000
 472       70  000
 473       76  000
 474       73  000
 475       74  000
 476       58  000
 477       67  000
 478       77  000
 479       61  000
 480       66  000
 481       72  000
 482       65  000
 483       74  000
 484       62  000
 485       78  000
 486       44  000
 487       69  000
 488       52  000
 489       77  000
 490       69  000
 491       70  000
 492       58  000
 493       68  000
 494       60  000
 495       72  000
 496       63  000
 497       79  000
 498       59  000
 499       62  000
 500       62  000
 501       69  000
 502       61  000
 503       76  000
 504       84  000
 505       63  000
 506       57  000
 507       63  000
 508       56  000
 509       67  000
 510       61  000
 511       66  000
 512       58  000
 513       72  000
 514       75  000
 515       67  000
 516       59  000
 517       57  000
 518       57  000
 519       59  000
 520       66  000
 521       60  000
 522       60  000
 523       60  000
 524       61  000
 525       59  000
 526       61  000
 527       64  000
 528       71  000
 529       65  000
 530       63  000
 531       53  000
 532       62  000
 533       68  000
 534       55  000
 535       68  000
 536       65  000
 537       61  000
 538       50  000
 539       69  000
 540       58  000
 541       67  000
 542       58  000
 543       73  000
 544       59  000
 545       50  000
 546       69  000
 547       62  000
 548       46  000
 549       62  000
 550       53  000
 551       61  000
 552       69  000
 553       56  000
 554       66  000
 555       52  000
 556       42  000
 557       61  000
 558       58  000
 559       57  000
 560       52  000
 561       61  000
 562       60  000
 563       58  000
 564       58  000
 565       66  000
 566       58  000
 567       71  000
 568       53  000
 569       52  000
 570       53  000
 571       58  000
 572       71  000
 573       75  000
 574       52  000
 575       62  000
 576       47  000
 577       56  000
 578       51  000
 579       56  000
 580       58  000
 581       51  000
 582       52  000
 583       57  000
 584       41  000
 585       51  000
 586       37  000
 587       59  000
 588       48  000
 589       53  000
 590       50  000
 591       50  000
 592       48  000
 593       47  000
 594       44  000
 595       49  000
 596       38  000
 597       47  000
 598       52  000
 599       51  000
 600       48  000
 601       53  000
 602       60  000
 603       50  000
 604       49  000
 605       48  000
 606       54  000
 607       61  000
 608       42  000
 609       51  000
 610       48  000
 611       41  000
 612       47  000
 613       50  000
 614       35  000
 615       41  000
 616       44  000
 617       61  000
 618       43  000
 619       49  000
 620       36  000
 621       49  000
 622       38  000
 623       38  000
 624       42  000
 625       41  000
 626       36  000
 627       45  000
 628       34  000
 629       45  000
 630       38  000
 631       48  000
 632       33  000
 633       37  000
 634       37  000
 635       30  000
 636       36  000
 637       41  000
 638       34  000
 639       37  000
 640       32  000
 641       35  000
 642       28  000
 643       34  000
 644       31  000
 645       39  000
 646       37  000
 647       45  000
 648       39  000
 649       24  000
 650       36  000
 651       35  000
 652       34  000
 653       44  000
 654       34  000
 655       34  000
 656       34  000
 657       34  000
 658       40  000
 659       32  000
 660       34  000
 661       41  000
 662       30  000
 663       25  000
 664       35  000
 665       29  000
 666       36  000
 667       39  000
 668       31  000
 669       40  000
 670       30  000
 671       37  000
 672       38  000
 673       45  000
 674       39  000
 675       35  000
 676       31  000
 677       28  000
 678       31  000
 679       29  000
 680       26  000
 681       29  000
 682       34  000
 683       33  000
 684       28  000
 685       32  000
 686       30  000
 687       29  000
 688       26  000
 689       29  000
 690       23  000
 691       21  000
 692       36  000
 693       26  000
 694       26  000
 695       23  000
 696       33  000
 697       32  000
 698       20  000
 699       32  000
 700       34  000
 701       21  000
 702       25  000
 703       23  000
 704       23  000
 705       28  000
 706       23  000
 707       18  000
 708       25  000
 709       27  000
 710       20  000
 711       20  000
 712       25  000
 713       29  000
 714       14  000
 715       28  000
 716       28  000
 717       23  000
 718       28  000
 719       29  000
 720       25  000
 721       23  000
 722       21  000
 723       23  000
 724       18  000
 725       24  000
 726       19  000
 727       25  000
 728       31  000
 729       20  000
 730       23  000
 731       24  000
 732       29  000
 733       27  000
 734       24  000
 735       38  000
 736       29  000
 737       26  000
 738       24  000
 739       30  000
 740       23  000
 741       25  000
 742       29  000
 743       28  000
 744       25  000
 745       32  000
 746       13  000
 747       30  000
 748       31  000
 749       31  000
 750       23  000
 751       27  000
 752       10  000
 753       25  000
 754       25  000
 755       20  000
 756       19  000
 757       27  000
 758       30  000
 759       26  000
 760       27  000
 761       26  000
 762       30  000
 763       32  000
 764       21  000
 765       26  000
 766       30  000
 767       33  000
 768       27  000
 769       28  000
 770       38  000
 771       30  000
 772       33  000
 773       33  000
 774       30  000
 775       32  000
 776       22  000
 777       32  000
 778       29  000
 779       34  000
 780       34  000
 781       35  000
 782       23  000
 783       38  000
 784       46  000
 785       46  000
 786       45  000
 787       35  000
 788       38  000
 789       44  000
 790       44  000
 791       31  000
 792       41  000
 793       60  000
 794       46  000
 795       78  000
 796       73  000
 797      130  000
 798      131  000
 799      199  000
 800      263  000
 801      321  000
 802      309  000
 803      305  000
 804      284  000
 805      224  000
 806      185  000
 807      121  000
 808       64  000
 809       46  000
 810       23  000
 811       21  000
 812       14  000
 813       15  000
 814       13  000
 815       12  000
 816        9  000
 817        9  000
 818       15  000
 819        6  000
 820        9  000
 821        6  000
 822        9  000
 823        7  000
 824        5  000
 825       12  000
 826        7  000
 827        8  000
 828        9  000
 829       10  000
 830        4  000
 831        4  000
