Digitizer
ch.0:  TRUE 	 ch.1:  FALSE 	 DC offset 0: 0 	 DC offset 1: 0 	 act ch:  0 	trig mode:  FALSE 	 rise time:  8 	 trig mean:  8 	 trig thr 0:  30 	 trig thr 1:  10 	gate mode:  FALSE 	 gate width:  504 	 pre gate:  0 	 holdoff:  504 	bsln mean:  16 	 bsln thr:  8 	 noflattime:  512 	GPO:  2 	 coinc:  FALSE 	 coinc time:  0 
PSAU
ch.0:  TRUE 	 ch.1:  FALSE 	 Vset 0:  54,720001 	 Vset 1:  71,000000 	 Gain0:  32 	 Gain1:  32 	 comp0:  FALSE 	 comp1:  FALSE 	 thr0:  -14,000000 	 thr1:  -15,000000 	 width0:  110 	 width1:  110 	 DOUT0:  TRUE 	 DOUT1:  FALSE 	 outputlevel:  NIM 	 coinc:  FALSE 	 coinc time:  20 

Vmon 0:  54,490002 	 Vmon 1:  0,000000 	 Temp 0:  23,900000 	 Temp 1:  21,000000 	 Temp board:  29,100000 
day&time: 02gen02000318

4,000	574740,000
5,000	281645,000
6,000	127980,000
7,000	53345,000
8,000	21210,000
9,000	8560,000
10,000	3585,000
11,000	1155,000
12,000	440,000
13,000	215,000
14,000	55,000
15,000	20,000
16,000	5,000
17,000	5,000
18,000	5,000
19,000	0,000
20,000	0,000
21,000	0,000
22,000	15,000
23,000	0,000
24,000	0,000
25,000	0,000
26,000	0,000
27,000	0,000
28,000	0,000
29,000	0,000
30,000	0,000
31,000	5,000
32,000	0,000
33,000	0,000
34,000	0,000
35,000	0,000
36,000	0,000
37,000	0,000
38,000	0,000
39,000	0,000
40,000	0,000
41,000	0,000
42,000	0,000
43,000	0,000
44,000	10,000
45,000	0,000
46,000	0,000
47,000	15,000
48,000	0,000
49,000	0,000
50,000	0,000
