Digitizer
ch.0:  FALSE 	 ch.1:  FALSE 	 DC offset 0: 0 	 DC offset 1: 0 	 act ch:  0 	trig mode:  FALSE 	 rise time:  8 	 trig mean:  8 	 trig thr 0:  30 	 trig thr 1:  10 	gate mode:  FALSE 	 gate width:  504 	 pre gate:  0 	 holdoff:  504 	bsln mean:  16 	 bsln thr:  8 	 noflattime:  512 	GPO:  2 	 coinc:  FALSE 	 coinc time:  0 
PSAU
ch.0:  TRUE 	 ch.1:  FALSE 	 Vset 0:  71,199997 	 Vset 1:  71,000000 	 Gain0:  30 	 Gain1:  32 	 comp0:  FALSE 	 comp1:  FALSE 	 thr0:  -21,000000 	 thr1:  -15,000000 	 width0:  110 	 width1:  110 	 DOUT0:  TRUE 	 DOUT1:  FALSE 	 outputlevel:  TTL 	 coinc:  FALSE 	 coinc time:  20 

Vmon 0:  71,029999 	 Vmon 1:  0,000000 	 Temp 0:  27,500000 	 Temp 1:  21,000000 	 Temp board:  29,500000 
day&time: 01gen02014121

4,000	916200,000
5,000	956315,000
6,000	992120,000
7,000	1021060,000
8,000	1052825,000
9,000	1074220,000
10,000	1098790,000
11,000	1080155,000
12,000	880830,000
13,000	573980,000
14,000	442725,000
15,000	410410,000
16,000	395695,000
17,000	384685,000
18,000	371965,000
19,000	364370,000
20,000	359055,000
21,000	347205,000
22,000	342385,000
23,000	325630,000
24,000	305965,000
25,000	258865,000
26,000	199875,000
27,000	156960,000
28,000	139155,000
29,000	131030,000
30,000	125570,000
31,000	119240,000
32,000	113465,000
33,000	107635,000
34,000	103710,000
35,000	101085,000
36,000	94360,000
37,000	87105,000
38,000	76510,000
39,000	64920,000
40,000	51375,000
41,000	44510,000
42,000	40205,000
43,000	37750,000
44,000	35695,000
45,000	34285,000
46,000	33110,000
47,000	31210,000
48,000	30110,000
49,000	27580,000
50,000	25590,000
51,000	22965,000
52,000	19490,000
53,000	16080,000
54,000	14105,000
55,000	12160,000
56,000	11415,000
57,000	11040,000
58,000	10630,000
59,000	9870,000
60,000	8950,000
61,000	8610,000
62,000	8310,000
63,000	7380,000
64,000	6695,000
65,000	5555,000
66,000	5045,000
67,000	4250,000
68,000	3970,000
69,000	3460,000
70,000	3280,000
71,000	3470,000
72,000	2765,000
73,000	2885,000
74,000	2500,000
75,000	2480,000
76,000	2140,000
77,000	2055,000
78,000	1785,000
79,000	1510,000
80,000	1185,000
81,000	1095,000
82,000	1095,000
83,000	990,000
84,000	1010,000
85,000	935,000
86,000	805,000
87,000	760,000
88,000	645,000
89,000	670,000
90,000	525,000
91,000	620,000
92,000	390,000
93,000	420,000
94,000	365,000
95,000	290,000
96,000	305,000
97,000	350,000
98,000	305,000
99,000	360,000
100,000	175,000
101,000	245,000
102,000	225,000
103,000	170,000
104,000	175,000
105,000	150,000
106,000	130,000
107,000	120,000
108,000	80,000
109,000	90,000
110,000	60,000
111,000	100,000
112,000	65,000
113,000	45,000
114,000	50,000
115,000	70,000
116,000	30,000
117,000	30,000
118,000	40,000
119,000	30,000
120,000	30,000
121,000	20,000
122,000	25,000
123,000	25,000
124,000	30,000
125,000	50,000
126,000	15,000
127,000	30,000
128,000	10,000
129,000	25,000
130,000	10,000
131,000	0,000
132,000	5,000
133,000	15,000
134,000	10,000
135,000	0,000
136,000	15,000
137,000	5,000
138,000	0,000
139,000	0,000
140,000	5,000
141,000	0,000
142,000	5,000
143,000	10,000
144,000	0,000
145,000	5,000
146,000	0,000
147,000	0,000
148,000	0,000
149,000	5,000
150,000	5,000
