Digitizer
ch.0:  TRUE 	 ch.1:  FALSE 	 DC offset 0: 0 	 DC offset 1: 0 	 act ch:  0 	trig mode:  FALSE 	 rise time:  8 	 trig mean:  8 	 trig thr 0:  30 	 trig thr 1:  10 	gate mode:  FALSE 	 gate width:  648 	 pre gate:  248 	 holdoff:  3000 	bsln mean:  16 	 bsln thr:  8 	 noflattime:  3008 	GPO:  2 	 coinc:  FALSE 	 coinc time:  0 
PSAU
ch.0:  TRUE 	 ch.1:  FALSE 	 Vset 0:  54.720001 	 Vset 1:  71.000000 	 Gain0:  32 	 Gain1:  32 	 comp0:  FALSE 	 comp1:  FALSE 	 thr0:  -25.000000 	 thr1:  -15.000000 	 width0:  110 	 width1:  110 	 DOUT0:  TRUE 	 DOUT1:  FALSE 	 outputlevel:  NIM 	 coinc:  FALSE 	 coinc time:  20 

Vmon 0:  54.490002 	 Vmon 1:  0.000000 	 Temp 0:  23.900000 	 Temp 1:  21.000000 	 Temp board:  30.100000 
day&time: 02gen02015905

-6996.500	0.000
-6988.500	0.000
-6980.500	1.000
-6972.499	0.000
-6964.499	0.000
-6956.499	0.000
-6948.499	0.000
-6940.499	2.000
-6932.499	0.000
-6924.498	0.000
-6916.498	0.000
-6908.498	0.000
-6900.498	1.000
-6892.498	0.000
-6884.498	0.000
-6876.497	0.000
-6868.497	1.000
-6860.497	0.000
-6852.497	0.000
-6844.497	0.000
-6836.497	2.000
-6828.496	1.000
-6820.496	0.000
-6812.496	0.000
-6804.496	0.000
-6796.496	2.000
-6788.496	0.000
-6780.495	0.000
-6772.495	1.000
-6764.495	0.000
-6756.495	2.000
-6748.495	0.000
-6740.495	0.000
-6732.494	0.000
-6724.494	0.000
-6716.494	0.000
-6708.494	0.000
-6700.494	1.000
-6692.494	0.000
-6684.493	0.000
-6676.493	0.000
-6668.493	0.000
-6660.493	0.000
-6652.493	0.000
-6644.493	0.000
-6636.492	0.000
-6628.492	1.000
-6620.492	0.000
-6612.492	0.000
-6604.492	3.000
-6596.492	1.000
-6588.491	2.000
-6580.491	1.000
-6572.491	0.000
-6564.491	0.000
-6556.491	0.000
-6548.491	0.000
-6540.490	0.000
-6532.490	0.000
-6524.490	2.000
-6516.490	1.000
-6508.490	0.000
-6500.490	0.000
-6492.489	1.000
-6484.489	1.000
-6476.489	0.000
-6468.489	3.000
-6460.489	0.000
-6452.489	2.000
-6444.488	0.000
-6436.488	1.000
-6428.488	1.000
-6420.488	0.000
-6412.488	2.000
-6404.488	2.000
-6396.487	0.000
-6388.487	1.000
-6380.487	0.000
-6372.487	1.000
-6364.487	1.000
-6356.487	1.000
-6348.486	1.000
-6340.486	1.000
-6332.486	2.000
-6324.486	2.000
-6316.486	0.000
-6308.486	0.000
-6300.485	1.000
-6292.485	2.000
-6284.485	5.000
-6276.485	0.000
-6268.485	4.000
-6260.485	3.000
-6252.484	4.000
-6244.484	2.000
-6236.484	5.000
