Digitizer
ch.0:  TRUE 	 ch.1:  FALSE 	 DC offset 0: 0 	 DC offset 1: 0 	 act ch:  0 	trig mode:  FALSE 	 rise time:  8 	 trig mean:  8 	 trig thr 0:  30 	 trig thr 1:  10 	gate mode:  FALSE 	 gate width:  3000 	 pre gate:  352 	 holdoff:  3000 	bsln mean:  16 	 bsln thr:  8 	 noflattime:  3008 	GPO:  2 	 coinc:  FALSE 	 coinc time:  0 
PSAU
ch.0:  TRUE 	 ch.1:  FALSE 	 Vset 0:  54,720001 	 Vset 1:  71,000000 	 Gain0:  32 	 Gain1:  32 	 comp0:  FALSE 	 comp1:  FALSE 	 thr0:  -20,000000 	 thr1:  -15,000000 	 width0:  110 	 width1:  110 	 DOUT0:  TRUE 	 DOUT1:  FALSE 	 outputlevel:  NIM 	 coinc:  FALSE 	 coinc time:  20 

Vmon 0:  54,490002 	 Vmon 1:  0,000000 	 Temp 0:  23,900000 	 Temp 1:  21,000000 	 Temp board:  29,799999 
day&time: 02gen02014417

4,000	457555,000
5,000	210630,000
6,000	86970,000
7,000	33595,000
8,000	12085,000
9,000	4045,000
10,000	1340,000
11,000	525,000
12,000	300,000
13,000	275,000
14,000	140,000
15,000	180,000
16,000	115,000
17,000	115,000
18,000	140,000
19,000	130,000
20,000	150,000
21,000	90,000
22,000	155,000
23,000	185,000
24,000	140,000
25,000	115,000
26,000	145,000
27,000	180,000
28,000	110,000
29,000	165,000
30,000	190,000
31,000	140,000
32,000	125,000
33,000	190,000
34,000	165,000
35,000	170,000
36,000	165,000
37,000	135,000
38,000	130,000
39,000	165,000
40,000	190,000
41,000	210,000
42,000	75,000
43,000	150,000
44,000	135,000
45,000	130,000
46,000	160,000
47,000	130,000
48,000	130,000
49,000	210,000
50,000	135,000
51,000	110,000
52,000	160,000
53,000	165,000
54,000	110,000
55,000	140,000
56,000	155,000
57,000	110,000
58,000	175,000
59,000	145,000
60,000	185,000
61,000	150,000
62,000	150,000
63,000	170,000
64,000	125,000
65,000	115,000
66,000	160,000
67,000	140,000
68,000	165,000
69,000	190,000
70,000	145,000
71,000	80,000
72,000	150,000
73,000	155,000
74,000	170,000
75,000	160,000
76,000	155,000
77,000	185,000
78,000	100,000
79,000	140,000
80,000	120,000
81,000	110,000
82,000	150,000
83,000	120,000
84,000	125,000
85,000	115,000
86,000	120,000
87,000	135,000
88,000	185,000
89,000	125,000
90,000	180,000
91,000	115,000
92,000	135,000
93,000	160,000
94,000	115,000
95,000	130,000
96,000	115,000
97,000	135,000
98,000	135,000
99,000	150,000
100,000	170,000
101,000	175,000
102,000	165,000
103,000	110,000
104,000	180,000
105,000	120,000
106,000	140,000
107,000	165,000
108,000	125,000
109,000	90,000
110,000	110,000
111,000	160,000
112,000	170,000
113,000	145,000
114,000	130,000
115,000	155,000
116,000	135,000
117,000	130,000
118,000	130,000
119,000	215,000
120,000	170,000
121,000	135,000
122,000	130,000
123,000	110,000
124,000	135,000
125,000	170,000
126,000	150,000
127,000	110,000
128,000	90,000
129,000	90,000
130,000	145,000
131,000	110,000
132,000	155,000
133,000	135,000
134,000	180,000
135,000	165,000
136,000	110,000
137,000	155,000
138,000	190,000
139,000	155,000
140,000	205,000
141,000	135,000
142,000	140,000
143,000	150,000
144,000	130,000
145,000	115,000
146,000	115,000
147,000	155,000
148,000	120,000
149,000	130,000
150,000	135,000
151,000	145,000
152,000	135,000
153,000	125,000
154,000	85,000
155,000	115,000
156,000	120,000
157,000	155,000
158,000	155,000
159,000	150,000
160,000	105,000
161,000	180,000
162,000	135,000
163,000	150,000
164,000	115,000
165,000	155,000
166,000	165,000
167,000	125,000
168,000	155,000
169,000	210,000
170,000	115,000
171,000	145,000
172,000	155,000
173,000	145,000
174,000	160,000
175,000	200,000
176,000	150,000
177,000	155,000
178,000	165,000
179,000	150,000
180,000	125,000
