1 22 34 33 23 108 56 25 14 27 14 33 27
2 21 30 29 33 118 1 23 26 28 26 33 27
3 21 28 20 20 60 1 22 21 26 6 33 27
4 22 36 37 30 84 70 26 24 28 28 33 27
5 21 44 48 32 118 21 18 15 29 41 33 27
6 22 33 26 23 62 56 22 24 25 13 33 27
7 22 31 27 32 88 61 26 5 28 23 33 27
8 21 29 21 24 125 1 24 25 31 11 33 27
9 22 33 29 22 102 1 20 24 24 9 33 27
10 22 33 35 21 92 35 20 31 21 19 33 27
11 21 33 25 20 97 1 23 26 32 30 33 27
12 21 36 38 36 81 1 18 29 25 36 33 27
13 21 36 27 13 112 74 17 18 27 21 33 27
14 21 31 26 21 54 1 24 19 24 14 33 27
15 21 32 26 14 56 73 21 16 26 17 33 27
16 22 33 34 25 71 55 26 29 28 20 33 27
17 21 28 29 29 90 15 18 30 30 36 33 27
18 22 33 34 31 56 1 21 29 24 26 33 27
19 21 37 43 33 119 9 20 22 28 23 33 27
20 22 31 53 35 80 31 20 20 29 25 33 27
21 21 30 22 13 60 22 21 14 23 17 33 27
22 21 31 29 28 196 31 20 20 26 28 33 27
23 21 29 23 27 178 1 21 25 28 20 33 27
24 21 29 23 13 58 59 24 27 26 15 33 27
25 21 32 31 36 54 45 16 23 26 32 33 27
26 21 32 29 30 57 32 19 20 26 28 33 27
27 21 30 29 30 166 80 26 27 27 22 33 27
28 22 28 31 29 191 85 27 25 27 19 33 27
29 21 38 34 26 179 73 22 25 22 20 33 27
30 22 32 25 26 88 1 25 26 27 30 33 27
31 21 31 21 13 57 31 23 20 28 8 33 27
32 21 31 20 18 50 1 22 19 18 30 33 27
33 22 30 23 31 83 17 22 18 19 29 33 27
34 21 35 28 31 80 1 21 34 34 34 33 27
35 21 33 37 24 163 68 28 12 23 2 33 27
36 21 29 25 30 78 24 20 22 30 11 33 27
37 21 34 37 28 112 46 26 27 31 29 33 27
38 22 37 34 19 76 12 24 19 23 25 33 27
39 21 27 25 29 167 1 22 38 23 23 33 27
40 21 28 24 35 47 24 23 22 25 27 33 27
41 21 30 20 9 56 41 26 19 26 6 33 27
42 22 31 24 30 133 1 21 14 28 25 33 27
43 21 38 36 25 117 82 28 23 34 33 34 27
44 21 30 36 37 144 63 26 24 21 29 33 27
45 21 31 23 28 193 3 20 23 22 31 33 27
46 22 30 24 17 65 81 18 25 20 23 33 27
47 21 29 20 27 71 1 25 25 23 32 33 27
48 21 33 25 18 65 25 24 17 24 30 33 27
49 22 30 25 18 106 1 28 33 33 29 33 27
50 21 32 27 28 239 7 21 30 23 34 33 27
51 21 32 27 32 91 1 21 39 28 28 33 27
52 21 28 20 19 75 1 24 17 25 3 33 27
53 22 33 29 21 60 1 17 23 23 14 33 27
54 21 27 17 17 131 32 22 26 19 5 33 27
55 21 26 27 23 217 43 25 24 27 18 33 27
56 21 34 38 23 102 66 21 26 22 10 33 27
57 21 35 38 30 96 16 22 22 39 36 33 27
58 22 46 50 27 91 125 21 20 31 38 33 27
59 22 32 23 21 71 13 20 18 24 21 33 27
60 21 34 41 34 101 14 22 21 29 15 33 27
61 21 36 31 29 60 1 16 24 31 31 33 27
62 22 34 39 33 99 1 21 21 28 30 33 27
63 21 41 41 28 197 1 23 20 31 24 33 27
64 22 39 42 30 79 13 24 22 30 18 33 27
65 21 36 32 25 114 1 18 30 31 15 33 27
66 21 31 19 16 153 33 27 23 32 13 33 27
67 22 37 30 26 91 53 23 26 28 26 33 27
68 21 33 33 30 128 43 19 25 20 26 33 27
69 21 31 17 21 90 20 22 30 25 21 33 27
70 21 33 25 22 129 1 24 26 25 28 33 27
71 21 30 25 24 110 33 22 35 24 23 33 27
72 21 33 44 28 106 46 21 39 28 26 33 27
73 22 35 30 23 158 1 22 28 35 29 33 27
74 22 30 36 21 105 74 22 21 25 4 33 27
75 21 28 22 18 83 30 24 21 31 8 33 27
76 22 36 29 16 54 36 24 27 31 21 33 27
77 21 30 21 23 47 17 25 33 35 17 33 27
78 21 24 19 24 54 33 23 22 25 9 33 27
79 21 34 37 35 976 65 21 26 27 11 33 27
80 22 36 29 20 104 1 20 24 24 1 33 27
81 21 29 36 38 108 1 23 26 21 27 33 27
82 21 28 22 14 67 1 24 13 24 1 33 27
83 21 33 26 26 125 1 26 31 28 35 33 27
84 22 35 29 23 115 79 17 1 33 7 33 27
85 21 31 34 24 108 51 18 43 109 25 33 27
86 21 18 12 19 142 1 22 19 30 2 33 27
87 21 27 22 24 92 13 24 23 26 24 33 27
88 21 36 35 16 148 46 24 28 26 32 33 27
89 21 36 33 25 82 30 16 22 25 27 33 27
90 21 31 30 35 283 64 22 29 30 10 33 27
91 22 31 29 30 92 1 24 38 26 30 33 27
92 22 34 34 19 100 77 19 24 32 1 33 27
93 21 26 22 37 135 14 22 23 24 26 33 27
94 21 34 31 33 57 1 23 24 29 20 33 27
95 21 29 35 31 181 119 23 18 24 8 33 27
96 22 32 35 32 97 57 27 35 30 25 33 27
97 22 37 33 30 78 10 21 27 27 12 33 27
98 22 33 39 24 140 11 27 22 32 28 33 27
99 21 30 21 22 78 16 22 35 31 34 33 27
100 22 39 38 23 106 38 21 28 29 19 33 27
101 21 32 32 27 141 56 26 4 31 33 33 27
102 21 28 22 22 77 1 18 29 25 15 33 27
103 21 30 33 34 90 33 26 23 30 28 33 27
104 21 29 28 22 164 1 24 27 27 1 33 27
105 22 33 27 24 97 15 25 28 22 13 33 27
106 21 28 29 26 149 1 23 17 23 8 33 27
107 21 27 31 35 71 81 20 19 31 19 33 27
108 22 34 26 29 89 1 19 29 26 33 33 27
109 22 31 29 27 89 18 20 29 26 13 33 27
110 22 27 22 4 62 10 24 24 29 6 33 27
111 21 22 13 22 125 1 20 22 24 3 33 27
112 22 39 39 28 113 20 24 16 30 23 33 27
113 21 32 23 32 75 1 19 23 26 18 33 27
114 21 34 44 31 101 24 23 14 26 30 34 27
115 21 34 23 20 50 55 22 24 29 31 33 27
116 21 35 43 31 61 1 19 24 17 26 33 27
117 22 32 38 37 77 1 20 36 30 23 33 27
118 21 31 28 25 164 24 22 23 26 8 33 27
119 21 32 26 18 102 46 23 22 27 1 33 27
120 21 32 20 22 116 9 25 22 28 29 33 27
121 22 34 35 35 92 7 21 26 26 38 33 27
122 22 35 39 24 107 26 20 14 29 31 33 27
123 21 27 24 23 73 1 23 25 24 17 33 27
124 22 36 31 16 104 40 21 29 31 17 33 27
125 21 30 23 17 48 2 19 34 30 25 33 27
126 22 30 28 31 41 48 24 17 34 11 33 27
127 21 25 23 27 136 43 20 23 19 1 33 27
128 22 30 30 23 84 22 23 23 25 8 33 27
129 21 32 36 31 65 138 19 18 20 1 33 27
130 22 23 26 27 85 23 22 22 22 4 33 27
131 21 32 36 29 196 121 21 25 19 15 33 27
132 21 30 19 23 102 19 21 26 31 5 33 27
133 21 24 26 25 196 8 18 18 18 5 33 27
134 22 32 31 15 62 58 23 18 25 15 33 27
135 21 25 18 26 152 1 17 27 22 22 33 27
136 22 35 39 32 67 1 23 27 29 20 33 27
137 21 28 23 36 71 9 20 23 34 16 33 27
138 22 36 23 20 153 7 17 28 25 44 33 27
139 22 30 33 34 95 1 24 29 24 25 33 27
140 21 30 23 22 96 19 25 29 32 18 33 27
141 21 32 24 18 115 1 20 18 19 22 33 27
142 21 29 24 22 57 26 24 26 24 14 33 27
143 21 34 41 47 56 65 22 28 29 38 33 27
144 21 26 35 43 124 90 18 9 24 1 33 27
145 21 35 38 31 82 1 21 25 29 22 33 27
146 21 28 17 14 111 1 29 25 30 1 33 27
147 21 33 28 32 56 19 25 35 30 31 33 27
148 21 33 39 33 88 126 19 21 19 25 33 27
149 22 39 36 29 54 1 23 32 28 43 33 27
150 21 26 27 31 103 36 19 21 24 9 33 27
151 22 33 32 33 76 44 27 23 23 29 34 27
152 22 38 38 17 100 1 22 22 28 17 33 27
153 21 25 18 14 87 1 19 8 25 7 33 27
154 22 30 25 11 96 59 22 24 29 12 33 27
155 22 31 26 22 162 19 23 24 30 19 33 27
156 22 37 33 14 76 1 22 24 33 25 33 27
157 22 36 38 29 103 73 22 29 26 12 33 27
158 22 26 25 31 60 20 26 23 32 1 33 27
159 22 30 22 23 87 41 21 25 25 28 33 27
160 22 31 34 26 73 1 26 21 33 6 33 27
161 22 33 41 27 93 1 20 29 26 29 33 27
162 21 29 23 21 138 1 19 22 27 10 33 27
163 22 35 39 35 84 1 19 40 22 44 33 27
164 21 24 17 20 69 16 18 24 34 4 33 27
165 21 37 32 11 126 17 20 26 25 9 33 27
166 22 35 41 25 79 57 22 21 31 16 33 27
167 22 39 46 26 133 79 21 30 23 35 34 27
168 22 29 21 25 94 33 23 19 29 13 33 27
169 22 27 25 13 59 28 21 27 23 1 33 27
170 22 36 44 31 75 1 19 30 28 1 33 27
171 21 25 18 14 57 1 14 27 16 19 33 27
172 21 32 26 30 51 45 22 38 20 11 33 27
173 21 35 35 33 104 33 24 30 26 33 33 27
174 21 30 22 24 78 30 22 28 25 2 33 27
175 21 27 25 24 124 44 27 30 23 7 33 27
176 22 30 26 27 82 22 22 31 23 16 33 27
177 22 32 38 30 120 56 19 25 24 16 33 27
178 21 26 18 15 88 33 18 31 27 2 33 27
179 22 25 24 24 58 1 23 1 29 10 33 27
180 21 34 37 35 157 67 22 31 24 21 33 27
181 22 33 34 13 65 18 23 22 27 28 33 27
182 21 30 36 26 52 1 23 26 30 22 33 27
183 21 33 37 36 95 1 23 24 27 33 33 27
184 21 28 28 32 48 1 18 20 21 7 33 27
