1 22 31 25 36 68 48 23 25 31 25 34 28
2 22 31 28 23 232 70 19 22 19 17 34 28
3 23 32 22 45 71 1 28 26 31 23 34 28
4 23 36 36 22 132 14 31 39 29 24 34 28
5 22 31 41 15 96 55 28 31 36 17 34 28
6 23 34 36 20 164 61 18 1 27 15 34 28
7 22 28 19 30 82 5 24 20 26 18 34 28
8 22 34 47 13 86 59 29 23 26 22 34 28
9 22 33 29 22 70 38 23 33 27 14 34 28
10 22 41 50 43 106 3 21 33 24 39 35 28
11 23 35 33 22 91 111 23 38 25 38 35 28
12 22 37 34 43 162 59 32 32 31 34 35 28
13 22 31 23 20 195 16 19 34 28 14 34 28
14 22 25 15 31 42 70 28 21 29 14 34 28
15 22 34 46 53 63 1 18 23 26 27 34 28
16 22 29 28 23 80 47 24 34 25 30 35 28
17 22 27 13 28 52 20 17 22 28 12 34 28
18 22 40 62 12 415 49 26 27 30 36 35 28
19 23 36 34 21 126 41 23 23 33 2 35 29
20 23 34 39 34 71 35 22 31 28 33 35 28
21 22 30 29 1 139 6 22 25 30 4 34 29
22 22 34 23 5 67 22 22 21 29 8 34 28
23 23 37 46 15 94 67 26 26 31 29 35 29
24 23 29 25 54 71 1 16 29 23 29 35 29
25 22 24 1 52 68 30 20 19 21 5 34 28
26 23 38 42 21 77 1 22 28 30 17 34 28
27 23 32 34 39 69 6 23 23 31 38 35 28
28 22 36 41 21 77 30 20 25 23 16 34 28
29 22 37 33 24 237 3 24 28 27 17 34 28
30 22 33 21 34 87 1 20 33 26 21 34 28
31 23 36 38 34 135 25 28 26 29 32 35 28
32 22 34 31 2 64 1 25 17 24 1 34 28
33 23 34 35 25 122 26 21 24 22 24 34 28
34 22 34 38 19 83 63 27 27 34 19 34 28
35 23 35 32 7 95 1 32 54 34 21 34 28
36 23 37 47 20 66 1 24 1 30 26 34 28
37 22 30 34 35 269 1 17 32 24 21 34 28
38 22 37 34 13 103 102 29 21 38 11 34 28
39 22 38 43 27 82 1 26 29 25 16 34 28
40 22 39 59 15 90 32 27 29 33 33 35 28
41 22 31 19 51 86 8 29 30 30 28 35 28
42 23 34 41 12 714 28 31 35 32 29 35 28
43 22 21 1 27 115 1 23 33 31 4 34 28
44 22 39 53 32 135 80 25 22 24 23 34 28
45 22 28 6 33 210 1 21 35 22 6 34 28
46 22 37 38 8 103 1 29 1 25 22 34 28
47 23 38 63 6 298 83 24 4 34 36 35 28
48 22 31 16 33 91 4 19 30 33 28 35 28
49 22 35 48 27 169 1 21 28 19 24 34 28
50 22 28 19 21 101 27 18 16 20 3 34 28
51 22 32 24 17 66 1 18 29 20 17 34 28
52 23 37 31 40 81 77 23 35 28 40 35 29
53 22 30 28 17 66 15 14 28 20 25 34 28
54 22 36 34 46 162 1 23 31 27 33 35 28
55 22 32 32 24 146 16 23 23 21 13 34 28
56 23 29 23 44 88 19 24 33 23 29 34 28
57 22 41 61 1 153 69 22 24 23 21 34 28
58 22 30 17 24 49 26 20 17 24 5 34 28
59 23 32 30 20 99 24 24 23 32 19 34 28
60 23 37 43 38 129 1 25 26 27 35 35 28
61 22 29 14 50 100 1 17 28 25 29 35 28
62 22 25 1 22 122 1 27 33 34 1 34 28
63 22 27 1 49 113 1 16 20 29 9 34 28
64 22 36 23 30 104 45 15 25 25 6 34 28
65 22 34 37 10 115 129 23 29 33 8 34 28
66 22 24 22 36 58 68 27 1 37 12 34 28
67 22 34 27 24 86 1 19 22 28 17 34 29
68 23 29 42 14 66 43 18 29 18 13 34 28
69 22 36 50 1 187 73 24 23 27 22 34 28
70 22 30 20 43 82 1 23 21 20 20 34 28
71 23 42 40 9 85 1 27 5 31 27 35 28
72 23 31 25 31 112 102 22 20 27 8 35 29
73 22 30 36 32 678 22 23 19 29 9 34 28
74 22 29 20 20 97 1 18 29 23 9 34 28
75 22 43 48 51 102 1 32 43 36 47 35 29
76 22 30 24 26 197 1 22 40 26 25 34 28
77 22 35 38 62 85 1 30 35 39 35 35 29
78 22 33 21 1 147 1 19 18 27 1 34 28
79 23 30 27 7 65 1 22 15 24 5 34 28
80 22 32 30 30 63 16 18 28 22 11 34 28
81 22 27 29 22 90 26 23 16 35 7 34 28
82 23 27 22 15 69 44 28 35 24 20 34 29
83 22 34 27 38 230 64 30 33 33 27 35 28
84 23 29 26 7 98 31 25 15 37 20 34 28
85 22 32 30 30 75 1 26 34 27 38 35 29
86 23 35 46 44 56 72 22 27 30 33 35 29
87 23 37 42 18 120 37 22 18 28 27 34 28
88 22 32 16 6 106 1 22 29 33 13 34 28
89 22 27 14 11 100 30 24 17 24 2 34 28
90 22 29 15 14 83 41 19 24 29 1 34 28
91 23 39 47 34 111 64 28 31 27 31 35 28
92 22 24 2 39 60 18 22 1 32 3 34 28
93 22 33 36 1 95 57 24 23 28 10 34 28
94 23 32 40 29 237 46 21 17 22 22 34 28
95 22 25 14 16 86 1 25 22 36 1 34 28
96 23 35 17 37 205 1 26 32 26 12 34 28
97 22 35 28 27 105 63 29 31 27 27 34 28
98 23 39 48 8 98 17 26 1 30 33 35 28
99 22 30 29 45 98 57 24 43 29 27 34 28
100 22 29 22 24 64 29 16 25 26 8 34 28
101 23 34 43 24 56 1 23 35 30 28 35 28
102 23 32 23 23 71 1 20 25 30 22 34 28
103 22 32 19 34 77 1 14 1 28 7 34 28
104 23 31 31 17 56 55 20 19 23 21 34 28
105 23 29 31 29 193 1 16 39 30 30 35 29
106 22 34 50 40 88 61 29 34 29 20 34 28
107 23 34 33 6 205 1 21 24 30 1 34 28
108 23 30 30 25 51 44 22 25 29 25 34 28
109 23 36 51 29 67 1 19 25 26 25 34 28
110 22 32 15 22 84 39 28 17 28 10 34 28
111 22 40 39 21 98 1 23 21 33 29 35 28
112 23 39 55 20 153 43 20 19 28 30 35 28
113 23 28 24 22 108 12 18 30 23 15 34 28
114 23 32 25 37 79 1 18 37 28 24 34 28
115 22 36 48 30 98 49 18 25 27 16 34 28
116 22 36 39 30 131 19 29 49 31 23 34 28
117 22 32 33 21 110 1 17 30 32 15 34 28
118 22 32 23 36 126 19 31 27 33 20 34 28
119 23 29 24 56 127 1 25 40 32 38 35 28
120 22 30 12 27 77 1 21 32 31 31 35 28
121 22 25 1 26 51 1 20 24 23 3 34 28
122 23 35 32 15 135 65 24 31 26 16 34 28
123 23 39 39 10 74 64 17 35 24 26 34 29
124 22 29 17 26 80 1 19 31 28 20 34 28
125 22 33 24 30 79 91 24 31 36 20 34 28
126 22 29 17 28 51 1 19 28 23 16 34 28
127 23 27 20 25 1062 31 22 19 27 1 35 29
128 22 30 36 21 83 1 20 20 21 12 34 28
129 22 34 41 39 186 80 31 25 39 40 35 28
130 22 33 33 23 74 1 21 25 26 20 34 29
131 23 37 38 20 148 53 22 22 29 10 34 28
132 23 30 24 9 68 35 20 24 29 1 34 28
133 22 17 1 23 94 1 22 27 31 1 34 28
134 22 31 40 22 232 1 22 26 24 14 34 28
135 22 36 39 19 130 14 23 32 22 26 34 28
136 23 36 43 18 103 7 25 16 25 6 34 28
137 23 30 30 39 191 29 25 36 30 19 34 28
138 22 26 1 35 111 1 20 20 26 3 34 28
139 22 33 40 7 204 24 29 31 24 34 35 28
140 22 40 52 32 151 21 21 36 21 32 35 28
141 22 19 1 33 222 1 17 1 32 1 34 28
